"","coords.x1","coords.x2",""
"655",389799.5,288572.5,106.48999786377
"656",389796.5,288572.5,106.879997253418
"657",389766.5,288539.5,109.110000610352
"658",389803.5,288597.5,105.349998474121
"659",389790.5,288544.5,107.459999084473
"660",389804.5,288585.5,106.110000610352
"661",389809.5,288553.5,105.730003356934
"662",389805.5,288533.5,106.190002441406
"663",389778.5,288596.5,107.349998474121
"664",389771.5,288590.5,109.199996948242
"665",389796.5,288548.5,107.160003662109
"666",389788.5,288540.5,107.519996643066
"667",389810.5,288624.5,107.370002746582
"668",389805.5,288615.5,106.129997253418
"669",389775.5,288600.5,108.309997558594
"670",389803.5,288596.5,105.610000610352
"671",389792.5,288641.5,106.540000915527
"672",389802.5,288542.5,106.349998474121
"673",389809.5,288570.5,105.480003356934
"674",389769.5,288528.5,107.730003356934
"675",389781.5,288518.5,108.650001525879
"676",389805.5,288542.5,106.150001525879
"677",389801.5,288563.5,106.080001831055
"678",389790.5,288539.5,107.610000610352
"679",389808.5,288547.5,105.830001831055
"680",389808.5,288599.5,105.01000213623
"681",389765.5,288584.5,108.25
"682",389811.5,288623.5,107
"683",389807.5,288560.5,105.73999786377
"684",389761.5,288534.5,109.25
"685",389809.5,288587.5,105.160003662109
"686",389775.5,288604.5,108.569999694824
"687",389798.5,288534.5,106.639999389648
"688",389799.5,288583.5,106.099998474121
"689",389788.5,288632.5,106.800003051758
"690",389768.5,288530.5,108.220001220703
"691",389816.5,288609.5,104.849998474121
"692",389801.5,288562.5,106.069999694824
"693",389770.5,288533.5,107.459999084473
"694",389804.5,288628.5,107.580001831055
"695",389793.5,288565.5,107.110000610352
"696",389758.5,288537.5,109.169998168945
"697",389767.5,288594.5,107.949996948242
"698",389772.5,288525.5,107
"699",389769.5,288595.5,108.319999694824
"700",389790.5,288545.5,107.529998779297
